org_id,pwsid,supplier_name,year,avg_shortage_level,data_type
2381,CA3910012,city of stockton,2022,1.6,Actual
2401,"CA1910046,CA1910200,CA1910205",suburban water systems - san jose hills,2022,1.6,Actual
2402,"CA1910059,CA1910174",suburban water systems - whittier/la mirada,2022,1.6,Actual
2405,CA4810005,suisun - solano water authority,2022,2.0,Actual
2419,CA1910157,sunny slope water company,2022,2.8,Actual
2424,CA3510003,sunnyslope county water district,2022,1.9,Actual
2425,CA4310014,city of sunnyvale,2022,2.0,Actual
2432,CA1810001,city of susanville,2022,1.2222222222222223,Actual
2437,CA3710025,sweetwater authority,2022,1.0,Actual
2438,"CA4910004,CA4910028",sweetwater springs water district,2022,0.0,Actual
2444,"CA0910012,CA3100029,CA3110010,CA3110011,CA3110013,CA3110043,CA3110044",tahoe city public utilities district,2022,2.0,Actual
2451,CA1510020,city of tehachapi,2022,0.0,Actual
2466,CA0410008,thermalito water and sewer district,2022,1.0,Actual
2469,CA5610020,city of thousand oaks,2022,3.6,Actual
2487,CA1910213,city of torrance,2022,1.625,Actual
2490,CA3010094,trabuco canyon water district,2022,2.0,Actual
2496,CA3910011,city of tracy,2022,3.0,Actual
2510,CA5610043,triunfo sanitation district/oak park water service,2022,1.0,Actual
2512,CA2910003,truckee - donner public utilities district,2022,1.4,Actual
2516,CA5410015,city of tulare,2022,2.3,Actual
2523,"CA5500363,CA5510001,CA5510002,CA5510003,CA5510012,CA5510013,CA5510015,CA5510021,CA5510025,CA5510028,CA5510033",tuolumne utilities district,2022,2.0,Actual
2524,CA5010019,city of turlock,2022,2.0,Actual
2528,CA3010046,city of tustin,2022,1.4,Actual
2530,CA3610049,twentynine palms water district,2022,0.0,Actual
2536,CA2310003,city of ukiah,2022,0.0,Actual
2541,CA3610050,city of upland,2022,3.875,Actual
2597,CA4810008,city of vacaville,2022,1.6,Actual
2602,CA3710002,vallecitos water district,2022,1.9,Actual
2603,"CA4810007,CA4810021",city of vallejo,2022,1.9,Actual
2604,CA3710026,valley center municipal water district,2022,1.7,Actual
2605,CA1910009,valley county water district,2022,1.0,Actual
2610,CA4910013,valley of the moon water district,2022,2.0,Actual
2618,CA1910166,valley water company,2022,3.7,Actual
2626,CA1510029,vaughn water company,2022,2.0,Actual
2629,CA5610018,ventura county waterworks district no 01 - moorpark,2022,2.8,Actual
2631,CA5610023,ventura county waterworks district no 08 - simi valley,2022,3.6,Actual
2633,CA1910167,city of vernon,2022,2.0,Actual
2635,CA3610052,victorville water district,2022,1.9,Actual
2649,CA3710027,vista irrigation district,2022,1.7,Actual
2661,CA1910234,walnut valley water district,2022,2.0,Actual
2662,CA1510021,city of wasco,2022,2.0,Actual
2669,CA4410011,city of watsonville,2022,1.7,Actual
2679,CA1510022,west kern water district,2022,1.8,Actual
2683,CA5710003,city of west sacramento,2022,1.8,Actual
2690,CA3610004,west valley water district,2022,1.8,Actual
2691,CA4110027,westborough water district,2022,2.0,Actual
2697,"CA3310036,CA3310049,CA3310076",western municipal water district of riverside,2022,2.0,Actual
2704,CA3010064,city of westminster,2022,0.0,Actual
2723,CA1910173,city of whittier,2022,1.0,Actual
2751,CA4910017,windsor town of,2022,2.0,Actual
2766,CA5710006,city of woodland,2022,1.6,Actual
2782,CA3010037,yorba linda water district,2022,0.0,Actual
2789,CA4710011,city of yreka,2022,1.5,Actual
2790,CA5110002,yuba city,2022,2.9,Actual
2793,CA3610055,yucaipa valley water district,2022,2.0,Actual
2891,CA3610125,san bernardino county service area 70 j oak hills,2022,0.0,Actual
2979,CA2010001,city of chowchilla,2022,1.6,Actual
4231,CA3910027,mountain house community services district,2022,2.0,Actual
4993,"CA1910017,CA1910096,CA1910240,CA1910247,CA1910250,CA1910255",santa clarita valley water agency,2022,1.7,Actual
13,CA3610001,city of adelanto,2023,2.0,Actual
23,CA0110001,alameda county water district,2023,0.8333333333333334,Actual
25,CA2710001,alco water service,2023,2.0,Actual
30,CA1910001,city of alhambra,2023,2.0,Actual
55,"CA0310002,CA0310003,CA0310012,CA0310019,CA0310021",amador water agency,2023,2.0,Actual
57,CA2810005,city of american canyon,2023,2.0,Actual
64,CA3010001,city of anaheim,2023,1.5,Actual
66,CA4510001,city of anderson,2023,1.1666666666666667,Actual
82,CA0710001,city of antioch,2023,2.0,Actual
87,CA3610003,apple valley ranchos water company,2023,1.5833333333333333,Actual
93,CA1910003,city of arcadia,2023,1.0,Actual
94,"CA1210001,CA1210021",city of arcata,2023,0.0,Actual
99,CA4010001,city of arroyo grande,2023,0.0,Actual
102,CA1510001,arvin community service district,2023,0.0,Actual
107,CA4010002,atascadero mutual water company,2023,0.0,Actual
110,CA2410001,city of atwater,2023,2.0,Actual
117,CA1910007,azusa light and water,2023,3.0,Actual
124,CA1010001,bakman water company,2023,1.1666666666666667,Actual
129,CA3310006,city of banning,2023,2.0,Actual
155,CA1510038,bear valley community services district,2023,0.0,Actual
159,CA3310002,beaumont - cherry valley water district,2023,3.0,Actual
167,CA4510014,bella vista water district,2023,1.0833333333333333,Actual
170,CA1910013,bellflower - somerset mutual water company,2023,0.5,Actual
178,CA4810001,city of benicia,2023,2.0,Actual
193,CA1910156,city of beverly hills,2023,2.0,Actual
197,CA3610008,big bear community services district,2023,2.0,Actual
198,"CA3600283,CA3610022,CA3610044",city of big bear lake,2023,0.0,Actual
241,CA3310003,city of blythe,2023,0.08333333333333333,Actual
262,CA1310001,city of brawley,2023,2.0,Actual
263,CA3010002,city of brea,2023,2.0,Actual
264,CA0710004,city of brentwood,2023,1.0,Actual
283,CA3010003,city of buena park,2023,2.0,Actual
285,CA1910179,city of burbank,2023,3.0,Actual
286,CA4110003,city of burlingame,2023,1.3333333333333333,Actual
351,"CA0510004,CA0510005,CA0510006,CA0510016,CA0510017,CA0510019",calaveras county water district,2023,0.5,Actual
353,CA1310002,city of calexico,2023,1.0,Actual
368,"CA1910052,CA1910139,CA1910186",california american water company - los angeles division,2023,2.0,Actual
369,"CA2701202,CA2701257,CA2702004,CA2710004,CA2710006,CA2710021,CA2710022",california american water company - monterey district,2023,1.3333333333333333,Actual
372,"CA3110150,CA3410010,CA3410012,CA3410013,CA3410017,CA3410031,CA3410045,CA3410047,CA5700712,CA3410023",california american water company - sacramento district,2023,2.0,Actual
373,CA3710001,california american water company - san diego district,2023,2.0,Actual
376,"CA5610040,CA5610081",california american water company - ventura district,2023,2.0,Actual
378,CA1510032,california city,2023,2.0,Actual
386,"CA1510003,CA1510055",california water service company bakersfield,2023,1.5833333333333333,Actual
387,CA4110006,california water service company bear gulch,2023,1.3333333333333333,Actual
388,"CA0410002,CA1110002",california water service company chico district,2023,2.0,Actual
390,CA4810002,california water service company dixon,2023,1.3333333333333333,Actual
391,CA1910033,california water service company dominguez,2023,1.3333333333333333,Actual
392,CA1910036,california water service company east los angeles,2023,1.3333333333333333,Actual
396,CA1910134,california water service company hermosa/redondo,2023,1.3333333333333333,Actual
397,"CA1500407,CA1510026,CA1510033,CA1510039,CA1510043,CA1510049,CA1510056",california water service company kern river valley,2023,1.3333333333333333,Actual
401,CA0110003,california water service company livermore,2023,1.3333333333333333,Actual
402,CA4310001,california water service company los altos/suburban,2023,1.3333333333333333,Actual
